what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1509081635671
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1509081636984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509081637912
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509083992168
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1509083993423
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1509083994844
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1509083995270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509083995724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509084101255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509084102788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509084159675
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1509084162932
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1509084170185
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509084171046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509084185606
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1509084186666
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509084188965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509084190032
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1509084190047
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1509084190047
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1509084190845
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509084191141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509084193095
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509084193893
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1509084195418
